Student ID,Name,Faculty,Advisor's Name,Email,Phone Number,Date of Birth,Gender,Address,Semesters,GPA,Scholarship Status / Tuition Fees,Clubs Attending
12200000,Nazira Erkin,KLC,Park Jimin,erkin70@inha.edu,010-2535-2228,2005-11-20,F,"27 Jungang-Ro, Bupyeong-Gu, Incheon 120146",9,2.75,Full Tuition Fee,Dance Club
12200001,Jahongir,ISE,Lee Hana,jahongir35@inha.edu,010-3151-6203,2000-09-07,M,"70 Cheongun-Ro, Namdong-Gu, Incheon 129772",9,2.93,100%,Music Society
12200002,Madina,ISE,Kang Daehyun,madina88@inha.edu,010-3115-8863,1997-12-15,F,"29 Ondang-Ro, Gyeyang-Gu, Incheon 129617",9,2.99,50%,Dance Club
12200003,Kang Seoyeon,IBT,Park Jimin,seoyeon25@inha.edu,010-8866-9437,1997-03-28,F,"18 Ondang-Ro, Bupyeong-Gu, Incheon 127913",9,2.33,25%,Drama Club
12200004,Kang Seoyeon,IBT,Kim Seokjin,seoyeon9@inha.edu,010-9814-3400,1995-06-09,F,"98 Ondang-Ro, Yeonsu-Gu, Incheon 120375",9,4.43,50%,Skating
12200005,Lee Jisoo,IBT,Choi Minseo,jisoo48@inha.edu,010-6786-6366,2001-08-02,F,"78 Ondang-Ro, Yeonsu-Gu, Incheon 120114",9,3.37,Full Tuition Fee,Dance Club
12200006,Madina,ISE,Park Jimin,madina71@inha.edu,010-2370-5575,1997-03-04,F,"34 Jungang-Ro, Bupyeong-Gu, Incheon 126433",9,2.3,Full Tuition Fee,0
12200007,Jung Donghyun,IBT,Jung Hoseok,donghyun89@inha.edu,010-1331-5897,1998-11-27,M,"28 Jungang-Ro, Bupyeong-Gu, Incheon 125968",9,2.9,25%,Rock Climbing
12200008,Kim Minho,IBT,Kim Seokjin,minho66@inha.edu,010-2381-8462,2002-02-23,M,"67 Ondang-Ro, Yeonsu-Gu, Incheon 122633",9,3.87,50%,Music Society
12200009,Azizbek,ISE,Jung Eunji,azizbek97@inha.edu,010-1718-6485,1995-04-17,M,"43 Jungang-Ro, Gyeyang-Gu, Incheon 124334",9,3.62,50%,Drama Club
12200010,Shohjahon,ISE,Jung Eunji,shohjahon85@inha.edu,010-6201-1661,1996-03-18,M,"55 Jungang-Ro, Namdong-Gu, Incheon 121771",9,4.24,Full Tuition Fee,0
12200011,Ziyoda,ISE,Kang Daehyun,ziyoda86@inha.edu,010-4069-1596,2001-10-21,F,"11 Geumgang-Ro, Yeonsu-Gu, Incheon 123325",9,2.65,50%,Skating
12200012,Sarvar,ISE,Jung Hoseok,sarvar87@inha.edu,010-6763-5899,2003-09-10,M,"39 Cheongun-Ro, Namdong-Gu, Incheon 123627",9,3.28,Full Tuition Fee,0
12200013,Jung Donghyun,IBT,Jung Eunji,donghyun64@inha.edu,010-4107-8047,2001-05-16,M,"41 Myeongdong-Ro, Namdong-Gu, Incheon 128968",9,3.79,100%,0
12200014,Madina,ISE,Lee Hana,madina22@inha.edu,010-8679-4421,1996-12-08,F,"30 Ondang-Ro, Gyeyang-Gu, Incheon 129350",9,3.09,100%,0
12200015,Park Hyunjin,IBT,Park Jimin,hyunjin96@inha.edu,010-8490-3629,2004-03-15,M,"24 Ondang-Ro, Yeonsu-Gu, Incheon 126448",9,3.62,Full Tuition Fee,Rock Climbing
12200016,Aung Kyaw,KLC,Jung Hoseok,kyaw57@inha.edu,010-2352-4527,2002-06-22,M,"81 Ondang-Ro, Namdong-Gu, Incheon 129534",9,4.28,25%,Drama Club
12200017,Sarvar,ISE,Park Jimin,sarvar27@inha.edu,010-2453-5785,1996-08-04,M,"13 Myeongdong-Ro, Bupyeong-Gu, Incheon 129728",9,2.19,25%,Rock Climbing
12200018,Ziyoda,ISE,Lee Hana,ziyoda52@inha.edu,010-1950-7014,2005-03-22,F,"67 Ondang-Ro, Yeonsu-Gu, Incheon 126918",9,2.84,50%,0
12200019,Kim Minho,IBT,Kang Daehyun,minho6@inha.edu,010-5873-9735,1995-07-05,M,"68 Ondang-Ro, Seo-Gu, Incheon 128074",9,2.54,50%,Dance Club
12200020,Meerim Zhumagul,KLC,Choi Minseo,zhumagul67@inha.edu,010-8642-8042,2000-07-05,F,"47 Jungang-Ro, Bupyeong-Gu, Incheon 127222",9,2.58,50%,Debate Team
12200021,Takahashi Mei,KLC,Choi Minseo,mei98@inha.edu,010-1567-3557,1996-08-16,F,"7 Myeongdong-Ro, Namdong-Gu, Incheon 127152",9,2.72,Full Tuition Fee,Game Programming
12200022,Sarvar,ISE,Kang Daehyun,sarvar87@inha.edu,010-7196-3784,2000-02-10,M,"99 Geumgang-Ro, Yeonsu-Gu, Incheon 123179",9,2.51,25%,Debate Team
12200023,Jung Donghyun,IBT,Jung Hoseok,donghyun46@inha.edu,010-4965-9230,2002-06-16,M,"90 Cheongun-Ro, Seo-Gu, Incheon 122585",9,3.43,Full Tuition Fee,Dance Club
12200024,Malika,ISE,Jung Hoseok,malika41@inha.edu,010-4971-4171,2001-01-28,F,"59 Geumgang-Ro, Bupyeong-Gu, Incheon 126154",9,3.53,Full Tuition Fee,Debate Team
12200025,Choi Soojin,IBT,Kim Seokjin,soojin1@inha.edu,010-1302-4265,1996-10-06,F,"18 Geumgang-Ro, Seo-Gu, Incheon 125253",9,4.47,Full Tuition Fee,Music Society
12200026,Aibek Temir,KLC,Park Jimin,temir62@inha.edu,010-6160-7376,2002-11-06,M,"76 Ondang-Ro, Gyeyang-Gu, Incheon 128710",9,3.12,Full Tuition Fee,Game Programming
12200027,Gulnoza,ISE,Lee Hana,gulnoza2@inha.edu,010-2018-4169,2004-06-22,F,"69 Ondang-Ro, Yeonsu-Gu, Incheon 125149",9,2.38,25%,Music Society
12200028,Jung Donghyun,IBT,Jung Eunji,donghyun62@inha.edu,010-6085-9279,2005-08-09,M,"97 Ondang-Ro, Yeonsu-Gu, Incheon 125627",9,3.84,25%,Game Programming
12200029,Sarvar,ISE,Choi Minseo,sarvar17@inha.edu,010-5684-4974,2000-06-16,M,"98 Jungang-Ro, Namdong-Gu, Incheon 122043",9,4.09,50%,Rock Climbing
12210000,Gulnoza,ISE,Choi Minseo,gulnoza64@inha.edu,010-7195-2506,2001-02-10,F,"48 Myeongdong-Ro, Namdong-Gu, Incheon 122281",8,2.17,Full Tuition Fee,Debate Team
12210001,Kang Seoyeon,IBT,Jung Eunji,seoyeon12@inha.edu,010-3486-8534,2002-10-20,F,"84 Myeongdong-Ro, Seo-Gu, Incheon 120234",8,4.25,Full Tuition Fee,Rock Climbing
12210002,Islom,ISE,Kim Seokjin,islom46@inha.edu,010-4800-7292,2002-03-25,M,"60 Jungang-Ro, Yeonsu-Gu, Incheon 125033",8,2.39,25%,Rock Climbing
12210003,Kobayashi Riku,KLC,Jung Eunji,riku21@inha.edu,010-1401-3372,2005-07-13,M,"22 Jungang-Ro, Yeonsu-Gu, Incheon 120166",8,3.33,100%,0
12210004,Park Hyunjin,IBT,Choi Minseo,hyunjin35@inha.edu,010-3484-9507,1998-10-02,M,"90 Myeongdong-Ro, Bupyeong-Gu, Incheon 125704",8,3.86,50%,0
12210005,Kang Seoyeon,IBT,Park Jimin,seoyeon42@inha.edu,010-3698-6815,1998-03-10,F,"57 Ondang-Ro, Yeonsu-Gu, Incheon 121414",8,4.27,25%,Music Society
12210006,Aizada Nurlan,KLC,Choi Minseo,nurlan13@inha.edu,010-2764-9447,2000-08-27,F,"86 Geumgang-Ro, Seo-Gu, Incheon 122141",8,2.53,Full Tuition Fee,Music Society
12210007,Gulnoza,ISE,Lee Hana,gulnoza55@inha.edu,010-4438-6596,1995-02-09,F,"30 Jungang-Ro, Seo-Gu, Incheon 127752",8,3.0,100%,Dance Club
12210008,Dilnoza,ISE,Kang Daehyun,dilnoza11@inha.edu,010-7251-2204,2005-09-01,F,"99 Jungang-Ro, Bupyeong-Gu, Incheon 126957",8,2.48,Full Tuition Fee,0
12210009,Park Hyunjin,IBT,Park Jimin,hyunjin25@inha.edu,010-1244-7493,2004-04-06,M,"87 Jungang-Ro, Yeonsu-Gu, Incheon 121879",8,4.26,Full Tuition Fee,Drama Club
12210010,Sarvar,ISE,Park Jimin,sarvar37@inha.edu,010-6356-7293,1996-09-17,M,"24 Jungang-Ro, Namdong-Gu, Incheon 127178",8,3.55,25%,0
12210011,Dilnoza,ISE,Choi Minseo,dilnoza23@inha.edu,010-4943-8254,2003-04-20,F,"17 Cheongun-Ro, Gyeyang-Gu, Incheon 120183",8,4.34,100%,0
12210012,Tanaka Haruka,KLC,Jung Eunji,haruka76@inha.edu,010-5165-8318,2004-01-20,F,"96 Myeongdong-Ro, Namdong-Gu, Incheon 128373",8,2.67,Full Tuition Fee,Drama Club
12210013,Dilnoza,ISE,Jung Eunji,dilnoza92@inha.edu,010-8748-6713,2001-06-09,F,"35 Geumgang-Ro, Yeonsu-Gu, Incheon 122625",8,3.36,100%,Skating
12210014,Kang Seoyeon,IBT,Kim Seokjin,seoyeon22@inha.edu,010-6858-6782,2005-12-21,F,"64 Cheongun-Ro, Namdong-Gu, Incheon 126970",8,2.94,Full Tuition Fee,Music Society
12210015,Jahongir,ISE,Park Jimin,jahongir14@inha.edu,010-9418-3024,2005-02-17,M,"70 Geumgang-Ro, Bupyeong-Gu, Incheon 124561",8,3.89,50%,Game Programming
12210016,Park Hyunjin,IBT,Jung Hoseok,hyunjin59@inha.edu,010-3506-8056,2005-12-25,M,"21 Geumgang-Ro, Seo-Gu, Incheon 129450",8,3.0,25%,Skating
12210017,Meerim Zhumagul,KLC,Choi Minseo,zhumagul92@inha.edu,010-3805-1026,1995-04-19,F,"37 Cheongun-Ro, Seo-Gu, Incheon 120602",8,3.95,25%,Game Programming
12210018,Jung Donghyun,IBT,Lee Hana,donghyun72@inha.edu,010-9314-7708,1995-12-20,M,"39 Myeongdong-Ro, Seo-Gu, Incheon 127159",8,4.15,50%,Music Society
12210019,Shohjahon,ISE,Jung Eunji,shohjahon92@inha.edu,010-9753-5576,2004-06-06,M,"18 Jungang-Ro, Namdong-Gu, Incheon 125233",8,2.63,Full Tuition Fee,Rock Climbing
12210020,Lee Jisoo,IBT,Kim Seokjin,jisoo98@inha.edu,010-5385-4932,2005-08-09,F,"12 Geumgang-Ro, Yeonsu-Gu, Incheon 127085",8,2.75,Full Tuition Fee,Music Society
12210021,Park Hyunjin,IBT,Park Jimin,hyunjin39@inha.edu,010-5082-5640,1999-07-21,M,"83 Cheongun-Ro, Gyeyang-Gu, Incheon 126117",8,3.92,100%,0
12210022,Gulnoza,ISE,Lee Hana,gulnoza44@inha.edu,010-1785-1642,2004-06-23,F,"60 Jungang-Ro, Namdong-Gu, Incheon 129299",8,4.1,50%,Skating
12210023,Malika,ISE,Park Jimin,malika5@inha.edu,010-8383-2198,2000-11-19,F,"32 Ondang-Ro, Yeonsu-Gu, Incheon 128461",8,4.29,50%,Kayaking
12210024,Gulnoza,ISE,Jung Eunji,gulnoza51@inha.edu,010-8706-8442,2003-04-22,F,"75 Geumgang-Ro, Gyeyang-Gu, Incheon 129870",8,2.12,Full Tuition Fee,0
12210025,Gulnoza,ISE,Lee Hana,gulnoza7@inha.edu,010-2444-8607,1997-07-22,F,"1 Cheongun-Ro, Seo-Gu, Incheon 120039",8,3.98,Full Tuition Fee,Rock Climbing
12210026,Kobayashi Riku,KLC,Choi Minseo,riku39@inha.edu,010-6784-8979,2005-03-10,M,"68 Ondang-Ro, Gyeyang-Gu, Incheon 123017",8,2.13,Full Tuition Fee,Dance Club
12210027,Choi Soojin,IBT,Jung Hoseok,soojin53@inha.edu,010-5934-8303,1997-11-07,F,"12 Ondang-Ro, Seo-Gu, Incheon 124534",8,2.01,25%,Drama Club
12210028,Islom,ISE,Kang Daehyun,islom54@inha.edu,010-6917-4759,2002-07-18,M,"14 Myeongdong-Ro, Namdong-Gu, Incheon 126407",8,2.26,50%,0
12210029,Min Win,KLC,Choi Minseo,win46@inha.edu,010-9149-9390,2005-08-28,M,"48 Jungang-Ro, Seo-Gu, Incheon 125017",8,4.09,Full Tuition Fee,Game Programming
12210030,Park Hyunjin,IBT,Kang Daehyun,hyunjin11@inha.edu,010-5456-1122,1996-05-11,M,"66 Geumgang-Ro, Namdong-Gu, Incheon 125160",8,3.9,Full Tuition Fee,Rock Climbing
12210031,Gulnoza,ISE,Lee Hana,gulnoza67@inha.edu,010-3760-5444,2000-08-15,F,"51 Myeongdong-Ro, Namdong-Gu, Incheon 122174",8,3.51,Full Tuition Fee,Skating
12210032,Madina,ISE,Kang Daehyun,madina15@inha.edu,010-4887-1595,1995-03-04,F,"98 Myeongdong-Ro, Namdong-Gu, Incheon 127268",8,4.47,100%,Game Programming
12210033,Shohjahon,ISE,Jung Hoseok,shohjahon25@inha.edu,010-5099-6476,2004-09-18,M,"24 Myeongdong-Ro, Bupyeong-Gu, Incheon 120548",8,3.8,50%,0
12210034,Jahongir,ISE,Park Jimin,jahongir19@inha.edu,010-8667-4617,2001-03-27,M,"8 Cheongun-Ro, Yeonsu-Gu, Incheon 121479",8,3.33,Full Tuition Fee,Debate Team
12210035,Park Hyunjin,IBT,Jung Eunji,hyunjin17@inha.edu,010-9065-4706,1998-01-07,M,"14 Geumgang-Ro, Gyeyang-Gu, Incheon 123369",8,4.1,Full Tuition Fee,Music Society
12210036,Azizbek,ISE,Jung Eunji,azizbek33@inha.edu,010-9954-4499,2001-10-10,M,"50 Cheongun-Ro, Yeonsu-Gu, Incheon 124596",8,2.15,25%,Drama Club
12210037,Dilnoza,ISE,Lee Hana,dilnoza94@inha.edu,010-1701-6929,2000-04-18,F,"67 Jungang-Ro, Seo-Gu, Incheon 120944",8,2.55,Full Tuition Fee,Kayaking
12210038,Jahongir,ISE,Park Jimin,jahongir46@inha.edu,010-2178-6085,2000-06-05,M,"39 Myeongdong-Ro, Seo-Gu, Incheon 129107",8,2.87,Full Tuition Fee,Dance Club
12210039,Malika,ISE,Park Jimin,malika86@inha.edu,010-6554-7144,1996-03-17,F,"55 Ondang-Ro, Seo-Gu, Incheon 128721",8,4.01,50%,Kayaking
12210040,Ziyoda,ISE,Kim Seokjin,ziyoda63@inha.edu,010-7160-6504,1999-11-13,F,"19 Jungang-Ro, Namdong-Gu, Incheon 125158",8,3.5,50%,Game Programming
12210041,Azizbek,ISE,Lee Hana,azizbek44@inha.edu,010-8377-7685,2001-11-01,M,"17 Ondang-Ro, Gyeyang-Gu, Incheon 125280",8,2.43,Full Tuition Fee,Kayaking
