Student ID,Name,Faculty,Advisor's Name,Email,Phone Number,Date of Birth,Gender,Address,Semesters,Scholarship Status / Tuition Fees,Clubs Attending,Password,Nationality
12200000,Nazira Erkin,KLC,Park Jimin,erkin70@inha.edu,1025352228,20051120,F,"27 JungangRo, BupyeongGu, Incheon 120146",9,0,Dance Club,")X|t'o[M,<",Uzbekistan
12200001,Jahongir,ISE,Lee Hana,jahongir35@inha.edu,1031516203,20000907,M,"70 CheongunRo, NamdongGu, Incheon 129772",9,100,Music Society,d2kaGSFS_+,Uzbekistan
12200002,Madina,ISE,Kang Daehyun,madina88@inha.edu,1031158863,19971215,F,"29 OndangRo, GyeyangGu, Incheon 129617",9,50,Dance Club,"St%H""@{&_j",Uzbekistan
12200003,Kang Seoyeon,IBT,Park Jimin,seoyeon25@inha.edu,1088669437,19970328,F,"18 OndangRo, BupyeongGu, Incheon 127913",9,25,Drama Club,Kwd(q].a`g,South Korea
12200004,Kang Seoyeon,IBT,Kim Seokjin,seoyeon9@inha.edu,1098143400,19950609,F,"98 OndangRo, YeonsuGu, Incheon 120375",9,50,Skating,YjZD9}XP*,South Korea
12200005,Lee Jisoo,IBT,Choi Minseo,jisoo48@inha.edu,1067866366,20010802,F,"78 OndangRo, YeonsuGu, Incheon 120114",9,0,Dance Club,W.Zy27B2{v,South Korea
12200006,Madina,ISE,Park Jimin,madina71@inha.edu,1023705575,19970304,F,"34 JungangRo, BupyeongGu, Incheon 126433",9,0,0,"{a0x(+t""+y",Uzbekistan
12200007,Jung Donghyun,IBT,Jung Hoseok,donghyun89@inha.edu,1013315897,19981127,M,"28 JungangRo, BupyeongGu, Incheon 125968",9,25,Rock Climbing,K6j(qvUfok,Germany
12200008,Kim Minho,IBT,Kim Seokjin,minho66@inha.edu,1023818462,20020223,M,"67 OndangRo, YeonsuGu, Incheon 122633",9,50,Music Society,L>7@5W8dAp,South Korea
12200009,Azizbek,ISE,Jung Eunji,azizbek97@inha.edu,1017186485,19950417,M,"43 JungangRo, GyeyangGu, Incheon 124334",9,50,Drama Club,@895LWxt7,Germany
12200010,Shohjahon,ISE,Jung Eunji,shohjahon85@inha.edu,1062011661,19960318,M,"55 JungangRo, NamdongGu, Incheon 121771",9,0,0,L`(|ew/=D2,United States
12200011,Ziyoda,ISE,Kang Daehyun,ziyoda86@inha.edu,1040691596,20011021,F,"11 GeumgangRo, YeonsuGu, Incheon 123325",9,50,Skating,")D`;3dk,1R",Germany
12200012,Sarvar,ISE,Jung Hoseok,sarvar87@inha.edu,1067635899,20030910,M,"39 CheongunRo, NamdongGu, Incheon 123627",9,0,0,+OoGs~zhuc,Australia
12200013,Jung Donghyun,IBT,Jung Eunji,donghyun64@inha.edu,1041078047,20010516,M,"41 MyeongdongRo, NamdongGu, Incheon 128968",9,100,0,]v(\wg[bIR,Brazil
12200014,Madina,ISE,Lee Hana,madina22@inha.edu,1086794421,19961208,F,"30 OndangRo, GyeyangGu, Incheon 129350",9,100,0,":^*h_,cQ!$",Uzbekistan
12200015,Park Hyunjin,IBT,Park Jimin,hyunjin96@inha.edu,1084903629,20040315,M,"24 OndangRo, YeonsuGu, Incheon 126448",9,0,Rock Climbing,]^lVJzcwYN,South Korea
12200016,Aung Kyaw,KLC,Jung Hoseok,kyaw57@inha.edu,1023524527,20020622,M,"81 OndangRo, NamdongGu, Incheon 129534",9,25,Drama Club,/n(@QGU:+T,Australia
12200017,Sarvar,ISE,Park Jimin,sarvar27@inha.edu,1024535785,19960804,M,"13 MyeongdongRo, BupyeongGu, Incheon 129728",9,25,Rock Climbing,'NDgX+VDc;,United States
12200018,Ziyoda,ISE,Lee Hana,ziyoda52@inha.edu,1019507014,20050322,F,"67 OndangRo, YeonsuGu, Incheon 126918",9,50,0,hL7g.9l?yd,Australia
12200019,Kim Minho,IBT,Kang Daehyun,minho6@inha.edu,1058739735,19950705,M,"68 OndangRo, SeoGu, Incheon 128074",9,50,Dance Club,F*2tjqh9_J,South Korea
12200020,Meerim Zhumagul,KLC,Choi Minseo,zhumagul67@inha.edu,1086428042,20000705,F,"47 JungangRo, BupyeongGu, Incheon 127222",9,50,Debate Team,zL8Z;x@Vu2,Brazil
