Student ID	Name	Faculty	Advisor's Name	Email	Phone Number	Date of Birth	Gender	Address	Semesters	Scholarship Amount	Clubs Attending	Password	Nationality	Advisor's ID
12200000	Nazira	Erkin	KLC	Yoon	Seoyeon	erkin70@inha.edu	1	025352228	20051120	0				
12200001	Jahongir	ISE	Kabir	Ivnbzvo	jahongir35@inha.edu	1031516203	2	0000907	0	0				
12200002	Madina	ISE	Kabir	Jwoc{wp	madina88@inha.edu	1031158863	1	9971215	0	0				
12200003	Kang	Seoyeon	IBT	Ohh	Seoyeon	seoyeon25@inha.edu	1	088669437	19970328	0				
12200004	Kang	Seoyeon	IBT	Pii	Seoyeon	seoyeon9@inha.edu	1	098143400	19950609	0				
12200005	Lee	Jisoo	IBT	Qjj	Seoyeon	jisoo48@inha.edu	1	067866366	20010802	0				
12200006	Madina	ISE	Kabir	N{sg	{t	madina71@inha.edu	1	023705575	1	9970304	0	0		
12200007	Jung	Donghyun	IBT	Sll	Seoyeon	donghyun89@inha.edu	1	013315897	19981127	0				
12200008	Kim	Minho	IBT	Tmm	Seoyeon	minho66@inha.edu	1	023818462	20020223	0				
12200009	Azizbek	ISE	Kabir	Q~vj#~w	azizbek97@inha.edu	1017186485	1	9950417	0	0				
12200010	Shohjahon	ISE	Kabir	Ivnbzvo	shohjahon85@inha.edu	1062011661	1	9960318	0	0				
12200011	Ziyoda	ISE	Kabir	Humayun	ziyoda86@inha.edu	1040691596	2	0011021	0	0				
12200012	Sarvar	ISE	Kabir	Ivnbzvo	sarvar87@inha.edu	1067635899	2	0030910	0	0				
12200013	Jung	Donghyun	IBT	Ngg	Seoyeon	donghyun64@inha.edu	1	041078047	20010516	0				
12200014	Madina	ISE	Kabir	Kxpd|xq	madina22@inha.edu	1086794421	1	9961208	0	0				
12200015	Park	Hyunjin	IBT	Pii	Seoyeon	hyunjin96@inha.edu	1	084903629	20040315	0				
12200016	Aung	Kyaw	KLC	^tts	Seoyeon	kyaw57@inha.edu	1	023524527	20020622	0				
12200017	Sarvar	ISE	Kabir	N{sg	{t	sarvar27@inha.edu	1	024535785	1	9960804	0	0		
12200018	Ziyoda	ISE	Kabir	O|th!|u	ziyoda52@inha.edu	1019507014	2	0050322	0	0				
12200019	Kim	Minho	IBT	Tmm	Seoyeon	minho6@inha.edu	1	058739735	19950705	0				
12200020	Meerim	Zhumagul	KLC	[qqp	Seoyeon	zhumagul67@inha.edu	1	086428042	20000705	0				
12200021	Takahashi	Mei	KLC	Zppo	Seoyeon	mei98@inha.edu	1	015673557	19960816	0				
12200022	Sarvar	ISE	Kabir	Humayun	sarvar87@inha.edu	1071963784	2	0000210	0	0				
12200023	Jung	Donghyun	IBT	Mff	Seoyeon	donghyun46@inha.edu	1	049659230	20020616	0				
12200024	Malika	ISE	Kabir	Jwoc{wp	malika41@inha.edu	1049714171	2	0010128	0	0				
12200025	Choi	Soojin	IBT	Ohh	Seoyeon	soojin1@inha.edu	1	013024265	19961006	0				
12200026	Aibek	Temir	KLC	]ssr	Seoyeon	temir62@inha.edu	1	061607376	20021106	0				
12200027	Gulnoza	ISE	Kabir	Mzrf~zs	gulnoza2@inha.edu	1020184169	2	0040622	0	0				
12200028	Jung	Donghyun	IBT	Rkk	Seoyeon	donghyun62@inha.edu	1	060859279	20050809	0				
12200029	Sarvar	ISE	Kabir	O|th!|u	sarvar17@inha.edu	1056844974	2	0000616	0	0				
12210000	Gulnoza	ISE	Kabir	Humayun	gulnoza64@inha.edu	1071952506	2	0010210	0	0				
12210001	Kang	Seoyeon	IBT	Mff	Seoyeon	seoyeon12@inha.edu	1	034868534	20021020	0				
